source_file	gene	tissue	twas_p	twas_fdr	twas_z_or_effect	prediction_model_n_snps	model_type	fdr_supported	multi_snp_supported	one_snp_supported	overlaps_MAGMA_top50	overlaps_MAGMA_top100	overlaps_MAGMA_Bonferroni	overlaps_MAGMA_FDR05	overlaps_MAGMA_suggestive	recommended_evidence_status	allowed_interpretation	not_allowed_interpretation	notes
results/tables/phase4_step1_twas_proxy_gene_table.tsv	RGS14	GTEx_v8_Kidney_Cortex	3.01499226997261e-40	1.79783989058466e-36	-13.2802219390869	1	one_snp_proxy	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	PTGER1	GTEx_v8_Kidney_Cortex	4.94899001527058e-19	1.47554137305292e-15	-8.91340255737305	1	one_snp_proxy	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	GNAZ	GTEx_v8_Kidney_Cortex	1.97600221482404e-17	3.92763373566525e-14	-8.49519538879395	1	one_snp_proxy	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	ZCRB1	GTEx_v8_Kidney_Cortex	2.71200410766744e-10	4.04292012350524e-07	-6.3144063949585	1	one_snp_proxy	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	FBXL20	GTEx_v8_Kidney_Cortex	2.96399959833269e-08	3.53486592097157e-05	-5.54355001449585	1	one_snp_proxy	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	CRHR1	GTEx_v8_Kidney_Cortex	6.88399959882433e-08	6.84154826796491e-05	5.39417266845703	1	one_snp_proxy	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	MED1	GTEx_v8_Kidney_Cortex	9.65585605334163e-08	8.22540994943945e-05	5.33308410489403	2	multi_snp_proxy	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	stronger_proxy_annotation	Stronger Kidney_Cortex proxy annotation than one-SNP models, but still not papilla-specific regulatory or causal evidence.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	ITIH3	GTEx_v8_Kidney_Cortex	1.85099981717257e-07	0.0001379688988725	-5.21371078491211	1	one_snp_proxy	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	C6orf48	GTEx_v8_Kidney_Cortex	2.3270020716867e-07	0.000154176815038531	5.17111587524414	1	one_snp_proxy	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
results/tables/phase4_step1_twas_proxy_gene_table.tsv	TBX2	GTEx_v8_Kidney_Cortex	3.45799993037505e-07	0.000206200535848264	-5.096604347229	1	one_snp_proxy	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	proxy_annotation_only	Kidney_Cortex proxy annotation only; high-risk one-SNP model and not a driver of candidate priority alone.	Causal gene validation; papilla-specific regulatory inference; target prioritization by TWAS alone.	Retain for transparent TWAS annotation with claim downgrade.
